SITE_NAME,ID,REPLICATE,DEPTH_CM,DEPTH_RANGE,-15_KUNSAT,-10_KUNSAT,-5_KUNSAT
Arden Woods,AW,a,1,1-5,0.37,0.42,0.65
Arden Woods,AW,a,5,5-25,0.05,0.21,1.13
Arden Woods,AW,a,25,25-39,0.16,0.08,0.05
Arden Woods,AW,a,39,39-56,0.08,0.06,0.04
Arden Woods,AW,a,56,56-106,0.03,0.04,0.06
Arden Woods,AW,b,1,1-5,0.11,0.13,0.36
Arden Woods,AW,b,5,5-25,0.03,0.03,0.04
Arden Woods,AW,b,25,25-39,0.02,0.03,0.02
Arden Woods,AW,b,39,39-56,0.06,0.04,0.03
Arden Woods,AW,b,56,56-106,0.02,0.02,0.02
Arden Woods,AW,c,1,1-5,0.03,0.02,0.03
Arden Woods,AW,c,5,5-25,0.02,0.02,0.08
Arden Woods,AW,c,25,25-39,0.16,0.08,0.05
Arden Woods,AW,c,39,39-56,0.02,0.02,0.01
Arden Woods,AW,c,56,56-106,0.02,0.02,0.02
Inwood Hill,INW,a,1,1-5,0.23,0.57,0.62
Inwood Hill,INW,a,5,5-35,0.42,0.35,0.42
Inwood Hill,INW,a,35,35-59,0.37,0.2,0.85
Inwood Hill,INW,a,59,59-85,0.2,0.23,0.37
Inwood Hill,INW,a,85,85-105,0.04,0.13,0.22
Inwood Hill,INW,a,105,105-120,0.19,0.04,0.13
Inwood Hill,INW,b,1,1-5,0.14,0.34,0.25
Inwood Hill,INW,b,5,5-35,2.43,2.39,1.88
Inwood Hill,INW,b,35,35-59,0.38,0.41,0.97
Inwood Hill,INW,b,59,59-85,0.4,0.1,0.54
Inwood Hill,INW,b,85,85-105,0.15,0.1,0.17
Inwood Hill,INW,b,105,105-120,0.26,0.13,0.28
Inwood Hill,INW,c,1,1-5,0.02,0.02,0.02
Inwood Hill,INW,c,5,5-35,0.11,0.11,0.21
Inwood Hill,INW,c,35,35-59,0.38,0.27,0.59
Inwood Hill,INW,c,59,59-85,NaN,NaN,NaN
Inwood Hill,INW,c,85,85-105,0.06,0.14,0.97
Inwood Hill,INW,c,105,105-120,0.11,0.1,0.07
Blue Heron,BH,a,0,0-11,0.14,0.19,0.3
Blue Heron,BH,a,11,11-26,0.03,0.31,0.74
Blue Heron,BH,a,26,26-47,0.04,0.05,0.05
Blue Heron,BH,a,47,47-65,0.02,0.04,0.17
Blue Heron,BH,a,65,65-83,0.1,0.02,0.02
Blue Heron,BH,b,0,0-11,0.13,0.13,0.22
Blue Heron,BH,b,11,11-26,0.05,0.14,0.28
Blue Heron,BH,b,26,26-47,0.02,0.02,0.02
Blue Heron,BH,b,47,47-65,0.03,0.04,0.05
Blue Heron,BH,b,65,65-83,0.02,0.05,0.04
Blue Heron,BH,c,0,0-11,0.01,0.02,0.02
Blue Heron,BH,c,11,11-26,0.04,0.06,0.24
Blue Heron,BH,c,26,26-47,NaN,NaN,NaN
Blue Heron,BH,c,47,47-65,0.02,0.02,0.01
Blue Heron,BH,c,65,65-83,0.03,0.03,0.04
FB Floyd Bennett,FB,a,0,0-14,1.85,3.18,1.12
FB Floyd Bennett,FB,a,14,14-44,0.82,1.97,3.63
FB Floyd Bennett,FB,a,44,44-57,0.94,1.12,2.09
FB Floyd Bennett,FB,a,57,57-67,0.56,0.96,0.35
FB Floyd Bennett,FB,a,67,67-88,0.14,0.54,0.37
FB Floyd Bennett,FB,b,0,0-14,0.05,0.06,0.26
FB Floyd Bennett,FB,b,14,14-44,0.47,0.38,0.18
FB Floyd Bennett,FB,b,44,44-57,0.04,0.06,0.1
FB Floyd Bennett,FB,b,57,57-67,0.49,0.79,1.2
FB Floyd Bennett,FB,b,67,67-88,0.41,0.53,0.45
FB Floyd Bennett,FB,c,0,0-14,0.59,0.29,0.55
FB Floyd Bennett,FB,c,14,14-44,0.02,0.02,0.04
FB Floyd Bennett,FB,c,44,44-57,0.06,0.13,0.31
FB Floyd Bennett,FB,c,57,57-67,0.21,0.19,0.2
FB Floyd Bennett,FB,c,67,67-88,0.2,0.21,0.35
JR Floyd Bennett,JR,a,0,0-20,0.27,0.74,0.8
JR Floyd Bennett,JR,a,20,20-43,0.34,0.14,0.8
JR Floyd Bennett,JR,a,43,43-49,1.62,1.16,2.26
JR Floyd Bennett,JR,a,49,49-80,2.15,2.86,2.71
JR Floyd Bennett,JR,a,80,80-117,0.82,1.91,1.59
JR Floyd Bennett,JR,b,0,0-20,0.03,0.03,0.03
JR Floyd Bennett,JR,b,20,20-43,NaN,NaN,NaN
JR Floyd Bennett,JR,b,43,43-49,0.09,0.05,0.06
JR Floyd Bennett,JR,b,49,49-80,1.98,1.48,1.33
JR Floyd Bennett,JR,b,80,80-117,0.76,1.19,2
JR Floyd Bennett,JR,c,0,0-20,NaN,NaN,NaN
JR Floyd Bennett,JR,c,20,20-43,NaN,NaN,NaN
JR Floyd Bennett,JR,c,43,43-49,0.38,0.63,0.42
JR Floyd Bennett,JR,c,49,49-80,0.03,0.03,0.04
JR Floyd Bennett,JR,c,80,80-117,0.09,0.37,NaN
CF Floyd Bennett,CF,a,0,0-13,0.18,0.51,0.62
CF Floyd Bennett,CF,a,13,13-19,0.28,0.12,0.28
CF Floyd Bennett,CF,a,19,19-34,0.18,0.64,1.12
CF Floyd Bennett,CF,a,34,34-44,1.38,1.39,2.49
CF Floyd Bennett,CF,a,44,44-86,1.64,1.62,0.2
CF Floyd Bennett,CF,b,0,0-13,0.06,0.05,0.06
CF Floyd Bennett,CF,b,13,13-19,0.03,0.02,0.04
CF Floyd Bennett,CF,b,19,19-34,0.02,0.03,0.04
CF Floyd Bennett,CF,b,34,34-44,0.43,0.52,0.38
CF Floyd Bennett,CF,b,44,44-86,0.66,1.66,0.62
CF Floyd Bennett,CF,c,0,0-13,NaN,NaN,NaN
CF Floyd Bennett,CF,c,13,13-19,0.08,0.13,0.23
